Year,RMSE,R2,VolumeDiff,ScaleFactor,WettestTrainYear,DriestTrainYear
1940,881202192043.1985,0.9878950217011233,0.0,1.1363503809295077,2003,1987
1941,475058959714.9154,0.9969151672685183,0.0,1.2171734081720766,2003,1987
1942,393975088209.97974,0.9988972420159311,0.0,1.6268117085782356,2003,1987
1943,472359530882.20905,0.9953130905915992,0.0,0.9677171785639483,2003,1987
1944,762902314996.8073,0.9935080559152436,0.0,1.3300435125843582,2003,1987
1945,464100965955.91925,0.998339442079739,0.0,1.58085496915409,2003,1987
1946,764665123762.7565,0.991540546415458,0.0,1.1813237129192753,2003,1987
1947,315077481233.9595,0.9983126607322583,0.0,1.1092717688043614,2003,1987
1948,341379423985.13434,0.998891263296075,0.0,1.405519809433029,2003,1987
1949,904911764913.0914,0.990603626171313,-0.00390625,1.3062454641286472,2003,1987
1950,531386619193.3316,0.9985888726259984,0.0,1.9312519469527982,2003,1987
1951,260521995685.06744,0.9992791549433482,0.0,1.3625382066612446,2003,1987
1952,188789850238.02737,0.999056957190769,0.0,0.8722787518715668,2003,1987
1953,531589650571.02167,0.9863647395600994,0.0,0.6554991338394892,2003,1987
1954,389305651498.3076,0.9966192065021602,0.0,0.9261195301620023,2003,1987
1955,1067079142548.0792,0.9798360565833705,0.0,1.071484261180439,2003,1987
1956,466237757006.49084,0.9978169376793995,0.00390625,1.3832805754866964,2003,1987
1957,760235761565.721,0.9906604534054267,0.0,1.1259999118044914,2003,1987
1958,1418234933874.1484,0.9766624065840763,0.0,1.288510854161428,2003,1987
1959,317403548959.7029,0.9977053177177506,0.0,0.8952998565615646,2003,1987
1960,804217050924.2908,0.9826415443782502,0.0,0.8716215545531417,2003,1987
1961,249603740376.78128,0.9993239633192893,0.0,1.3237818792231297,2003,1987
1962,211629059085.19348,0.9987086095689011,0.0,0.8143742339074802,2003,1987
1963,400307362019.7243,0.9936790613320955,-0.001953125,0.6913270007538135,2003,1987
1964,559973966427.7864,0.9924009258262013,0.0,0.8909542600936268,2003,1987
1965,242513086984.78897,0.9980853986458623,0.0,0.776658057801355,2003,1987
1966,605638902741.6582,0.9924676943415236,0.0,0.9772022467690326,2003,1987
1967,294380888187.4957,0.9981495545393088,0.0,0.9379666283802217,2003,1987
1968,174248819324.5052,0.9989680694146554,0.0,0.7552780018308042,2003,1987
1969,268680313776.90234,0.9977664364739607,0.0,0.7981112564927887,2003,1987
1970,331073779257.34076,0.9980828340939647,0.0,1.0321875555691176,2003,1987
1971,1121927493653.9045,0.9787016215105038,0.0,1.0911597782554938,2003,1987
1972,252121148692.3962,0.9995835030227194,0.0,1.7093445667879377,2003,1987
1973,384515817760.95905,0.9988582227338929,0.0,1.5679407408614325,2003,1987
1974,652741896753.2426,0.9956526656015615,0.0,1.3700571998707032,2003,1987
1975,424944464229.6645,0.9972196525582374,0.0,1.1276361073992416,2003,1987
1976,160536398169.15833,0.9989447946273995,0.0,0.7005603793247476,2003,1987
1977,273224646373.7741,0.9986655981376409,0.0,1.0280768747017002,2003,1987
1978,659536727916.2262,0.9955238825913418,-0.00390625,1.386831835716545,2003,1987
1979,750923458943.3845,0.9955787749318272,0.0,1.586258471883368,2003,1987
1980,809232037087.2534,0.9855659905243832,0.0,0.956188527688578,2003,1987
1981,496801186621.0564,0.9945514627948951,0.0,0.9450222594810127,2003,1987
